canonical_label,frequency,n_participants,group_coverage
questioning own mental block,1,1,E:0 / B:1
questioning own progress feasibility,1,1,E:0 / B:1
questioning referent of fraction,1,1,E:0 / B:1
questioning whether LLM will compute answer independently,1,1,E:0 / B:1
re-checking alternate definition,1,1,E:0 / B:1
re-checking definition against situation,1,1,E:0 / B:1
reacting positively to discovering calculator feature,1,1,E:0 / B:1
reading calculator display value,1,1,E:0 / B:1
"reading response aloud, trailing into doubt",1,1,E:0 / B:1
reading response evaluation aloud,1,1,E:0 / B:1
reading response step aloud,1,1,E:0 / B:1
reading task element aloud,1,1,E:0 / B:1
reading task given value aloud,1,1,E:0 / B:1
reaffirming derived answer,1,1,E:0 / B:1
realizing meaning of clarification,1,1,E:0 / B:1
realizing meaning of instruction,1,1,E:0 / B:1
recalling coordinate axis orientation,1,1,E:0 / B:1
recalling earlier partial-correctness feedback,1,1,E:0 / B:1
recognizing definitional mismatch,1,1,E:0 / B:1
recognizing required math operation,1,1,E:0 / B:1
recognizing terminology gap,1,1,E:0 / B:1
reflecting on being out of practice,1,1,E:0 / B:1
reflecting on wasted time from prior task,1,1,E:0 / B:1
reiterating expectation of full LLM assistance,1,1,E:0 / B:1
reiterating observation of inconsistent feedback across turns,1,1,E:0 / B:1
reiterating spatial restatement,1,1,E:0 / B:1
reiterating task element,1,1,E:0 / B:1
reporting persistent confusion,1,1,E:0 / B:1
requesting LLM perform equation rearrangement,1,1,E:0 / B:1
requesting LLM rearrange equation,1,1,E:0 / B:1
requesting clarification of ratio notation,1,1,E:0 / B:1
requesting definition from LLM,1,1,E:0 / B:1
requesting explicit verification of algebraic step,1,1,E:0 / B:1
requesting hint from LLM,1,1,E:0 / B:1
requesting verification of derived relation,1,1,E:0 / B:1
restarting approach from beginning,1,1,E:0 / B:1
restating LLM's instruction,1,1,E:0 / B:1
restating algebra step,1,1,E:0 / B:1
restating algebraic manipulation logic,1,1,E:0 / B:1
restating derived relation,1,1,E:0 / B:1
restating distance relation,1,1,E:0 / B:1
restating equation from response,1,1,E:0 / B:1
restating figure values,1,1,E:0 / B:1
restating geometric constraint from task,1,1,E:0 / B:1
restating point P's position on segment AB,1,1,E:0 / B:1
restating question in own words,1,1,E:0 / B:1
restating relation for point B,1,1,E:0 / B:1
restating response step,1,1,E:0 / B:1
restating segment definition,1,1,E:0 / B:1
restating segment labels,1,1,E:0 / B:1
restating step to place point B,1,1,E:0 / B:1
restating task given value,1,1,E:0 / B:1
restating task given values,1,1,E:0 / B:1
restating task goal,1,1,E:0 / B:1
restating triangle side labels from response,1,1,E:0 / B:1
reviewing variables referenced in query,1,1,E:0 / B:1
searching for point of difficulty,1,1,E:0 / B:1
seeking permission to ask LLM directly,1,1,E:0 / B:1
seeking reassurance about notation,1,1,E:0 / B:1
self-correcting conflated concepts,1,1,E:0 / B:1
setting up own calculation,1,1,E:0 / B:1
setting up percentage scale on diagram,1,1,E:0 / B:1
sharing observation with LLM,1,1,E:0 / B:1
signaling task abandonment,1,1,E:0 / B:1
stating computed value,1,1,E:0 / B:1
submitting final answer to LLM,1,1,E:0 / B:1
suspecting missed information,1,1,E:0 / B:1
tentatively placing point via counting,1,1,E:0 / B:1
verbalizing message before typing,1,1,E:0 / B:1
verbalizing query before sending,1,1,E:0 / B:1
verbalizing request for hint before sending,1,1,E:0 / B:1
verbalizing self-monitoring for researcher,1,1,E:0 / B:1
wondering whether LLM will confirm correctness,1,1,E:0 / B:1
working out spatial configuration,1,1,E:0 / B:1
working through equation aloud,1,1,E:0 / B:1
